title,genre,overview,year
The Matrix,Sci-Fi|Action,Reality is a simulation,1999
Inception,Sci-Fi|Thriller,A thief steals secrets through dreams,2010
Interstellar,Sci-Fi|Drama,A journey through space and time,2014
The Lion King,Animation|Drama,A lion cub rises to be king,1994
Frozen,Animation|Fantasy,Two sisters in a magical kingdom,2013
Frozen II,Animation|Fantasy,Elsa discovers her powers origin,2019
Moana,Animation|Adventure,A girl sails to save her island,2016
Tangled,Animation|Romance,Rapunzel escapes her tower,2010
Beauty and the Beast,Animation|Romance,A cursed prince finds love,1991
Aladdin,Animation|Adventure,A street boy finds a magic lamp,1992
The Little Mermaid,Animation|Romance,A mermaid dreams of land,1989
Mulan,Animation|Action,A girl disguises as a warrior,1998
Zootopia,Animation|Comedy,A bunny cop solves a mystery,2016
Encanto,Animation|Fantasy,A magical family loses powers,2021
Coco,Animation|Drama,A boy explores the land of the dead,2017
Shrek,Animation|Comedy,An ogre rescues a princess,2001
Shrek 2,Animation|Comedy,Shrek meets royal family,2004
Kung Fu Panda,Animation|Action,A panda becomes a warrior,2008
Kung Fu Panda 2,Animation|Action,Po faces his past,2011
Madagascar,Animation|Comedy,Animals escape zoo,2005
How to Train Your Dragon,Animation|Fantasy,A boy befriends a dragon,2010
Megamind,Animation|Comedy,A villain becomes a hero,2010
The Croods,Animation|Adventure,A prehistoric family survives change,2013
Minions,Animation|Comedy,Minions seek a master,2015
Despicable Me,Animation|Comedy,A villain adopts children,2010
Despicable Me 2,Animation|Comedy,Gru becomes a hero,2013
The Incredibles,Animation|Action,A superhero family returns,2004
Incredibles 2,Animation|Action,Family balances hero life,2018
Toy Story,Animation|Adventure,Toys come alive,1995
Toy Story 3,Animation|Drama,Toys face growing up,2010
Finding Nemo,Animation|Adventure,A fish searches for his son,2003
Finding Dory,Animation|Adventure,Dory finds her family,2016
Ratatouille,Animation|Comedy,A rat becomes a chef,2007
Up,Animation|Adventure,An old man flies with balloons,2009
Inside Out,Animation|Drama,Emotions guide a girl,2015
Cars,Animation|Comedy,A race car learns humility,2006
Brave,Animation|Adventure,A princess defies fate,2012
Soul,Animation|Drama,A musician finds purpose,2020
Luca,Animation|Adventure,A sea monster explores land,2021
Turning Red,Animation|Comedy,A girl transforms into panda,2022
The Jungle Book,Adventure|Drama,A boy grows in jungle,2016
Aladdin (Live),Adventure|Fantasy,A remake of classic tale,2019
Beauty and the Beast (Live),Romance|Fantasy,A magical love story,2017
Cinderella,Romance|Fantasy,A girl finds her destiny,2015
Maleficent,Fantasy|Drama,A villain's story,2014
Cruella,Drama|Crime,A villain rises in fashion world,2021
The Devil Wears Prada,Drama|Comedy,A girl enters fashion world,2006
The Intern,Drama|Comedy,A senior intern learns business,2015
Ocean's 8,Crime|Comedy,A group plans a heist,2018
Princess Diaries,Comedy|Romance,A girl becomes a princess,2001
Princess Diaries 2,Comedy|Romance,Princess faces royal duties,2004
Love & Other Drugs,Romance|Drama,A salesman falls in love,2010
13 Going on 30,Romance|Fantasy,A girl wakes as adult,2004
Legally Blonde,Comedy|Romance,A girl proves herself in law school,2001
Legally Blonde 2,Comedy|Romance,Elle fights for justice,2003
Sweet Home Alabama,Romance|Comedy,A woman returns to hometown,2002
Big Little Lies,Drama|Mystery,Secrets in a coastal town,2017
Now You See Me,Crime|Thriller,Magicians perform heists,2013
Spotlight,Drama|Biography,Journalists uncover truth,2015
Avengers,Action|Sci-Fi,Heroes unite to save Earth,2012
Avengers Endgame,Action|Sci-Fi,Final battle against Thanos,2019
Iron Man,Action|Sci-Fi,A billionaire builds a suit,2008
Thor Ragnarok,Action|Comedy,Thor saves his world,2017
Hulk,Action|Sci-Fi,A scientist transforms into monster,2003
Shutter Island,Thriller|Mystery,A detective investigates asylum,2010
The Dark Knight,Action|Crime,Batman faces Joker,2008
Jab We Met,Romance|Comedy,A lively girl meets a broken man,2007
Kabhi Khushi Kabhie Gham,Drama|Family,A rich family faces separation,2001
Kal Ho Naa Ho,Drama|Romance,A man teaches how to live,2003
Dilwale Dulhania Le Jayenge,Romance|Drama,A love story across countries,1995
My Name is Khan,Drama|Romance,A man journeys across America,2010
Chennai Express,Comedy|Action,A man travels to South India,2013
Ra.One,Action|Sci-Fi,A game villain becomes real,2011
Don,Action|Crime,A criminal mastermind story,2006
Don 2,Action|Crime,Don expands globally,2011
Veer-Zaara,Romance|Drama,A cross-border love story,2004
Om Shanti Om,Romance|Drama,Reincarnation love story,2007
Queen,Drama|Comedy,A woman finds herself,2014
Tanu Weds Manu,Romance|Comedy,A chaotic love story,2011
Tanu Weds Manu Returns,Romance|Comedy,Marriage complications,2015
Jab Tak Hai Jaan,Romance|Drama,A soldier's love story,2012
Good Newwz,Comedy|Drama,IVF mix-up comedy,2019
3 Idiots,Drama|Comedy,Engineering life and friendship,2009
PK,Comedy|Drama,An alien questions religion,2014
Barfi,Romance|Drama,A silent love story,2012
Tamasha,Drama|Romance,A man finds himself,2015
Rockstar,Drama|Music,A singer's journey,2011
Wake Up Sid,Drama|Romance,A boy grows up,2009
Yeh Jawaani Hai Deewani,Romance|Drama,Friendship and love,2013
Zindagi Na Milegi Dobara,Drama|Adventure,Friends travel Spain,2011
Dil Chahta Hai,Drama|Friendship,Modern friendship story,2001
Andhadhun,Thriller|Crime,A blind pianist mystery,2018
Drishyam,Thriller|Crime,A man protects family,2015
Kahaani,Thriller|Mystery,A pregnant woman searches truth,2012
Stree,Comedy|Horror,A ghost targets men,2018
Bhool Bhulaiyaa,Comedy|Horror,A haunted palace story,2007
Gully Boy,Drama|Music,A rapper rises from slums,2019
Padman,Drama|Biography,A man creates sanitary pads,2018
Dangal,Drama|Sports,A father trains daughters,2016
Chak De India,Drama|Sports,Women's hockey team wins,2007
Lagaan,Drama|Sports,Villagers play cricket,2001
Swades,Drama,A man returns to village,2004
English Vinglish,Drama,A woman gains confidence,2012
Piku,Drama|Comedy,A father-daughter story,2015
Lunchbox,Drama|Romance,A mistaken delivery leads to love,2013
Masaan,Drama,Life and loss in Varanasi,2015
